enginesize,curbweight,highwaympg,horsepower,carwidth,wheelbase,Y
108,2240,31,73,63.8,93.3,7603.0
108,2145,37,82,65.4,97.2,7126.0
108,2190,33,82,65.4,97.2,7775.0
108,2340,32,94,65.4,97.2,9960.0
108,2385,25,82,65.4,97.0,9233.0
108,2510,29,111,65.4,97.0,11259.0
108,2290,32,82,65.4,97.0,7463.0
108,2455,31,94,65.4,97.0,10198.0
108,2420,29,82,65.4,96.9,8013.0
108,2650,23,111,65.4,96.9,11694.0
92,1985,39,62,63.6,95.7,5348.0
92,2040,38,62,63.6,95.7,6338.0
92,2015,38,62,63.6,95.7,6488.0
92,2280,37,62,63.6,95.7,6918.0
92,2290,32,62,63.6,95.7,7898.0
92,3110,32,62,63.6,95.7,8778.0
98,2081,37,70,64.4,95.7,6938.0
98,2109,37,70,64.4,95.7,7198.0
110,2275,36,56,64.4,95.7,7898.0
110,2275,47,56,64.4,95.7,7788.0
98,2094,47,70,64.4,95.7,7738.0
98,2122,34,70,64.4,95.7,8358.0
98,2140,34,70,64.4,95.7,9258.0
98,2169,34,70,64.0,94.5,8058.0
98,2204,34,70,64.0,94.5,8238.0
98,2265,29,112,64.0,94.5,9298.0
98,2300,29,112,64.0,94.5,9538.0
146,2540,30,116,65.6,98.4,8449.0
146,2536,30,116,65.6,98.4,9639.0
146,2551,30,116,65.6,98.4,9989.0
146,2679,30,116,65.6,98.4,11199.0
146,2714,30,116,65.6,98.4,11549.0
146,2975,30,116,65.6,98.4,17669.0
122,2326,34,92,66.5,102.4,8948.0
110,2480,33,73,66.5,102.4,10698.0
122,2414,32,92,66.5,102.4,9988.0
122,2414,32,92,66.5,102.4,10898.0
122,2458,32,92,66.5,102.4,11248.0
171,2976,24,161,67.7,102.9,16558.0
171,3016,24,161,67.7,102.9,15998.0
171,3131,24,156,66.5,104.5,15690.0
161,3151,24,156,66.5,104.5,15750.0
97,2261,46,52,65.5,97.3,7775.0
109,2209,34,85,65.5,97.3,7975.0
97,2264,46,52,65.5,97.3,7995.0
109,2212,34,85,65.5,97.3,8195.0
109,2275,34,85,65.5,97.3,8495.0
97,2319,42,68,65.5,97.3,9495.0
109,2300,32,100,65.5,97.3,9995.0
109,2254,29,90,64.2,94.5,11595.0
109,2221,29,90,64.0,94.5,9980.0
136,2661,24,110,66.9,100.4,13295.0
97,2579,38,68,66.9,100.4,13845.0
109,2563,31,88,66.9,100.4,12290.0
141,2912,28,114,67.2,104.3,12940.0
141,3034,28,114,67.2,104.3,13415.0
141,2935,28,114,67.2,104.3,15985.0
141,3042,28,114,67.2,104.3,16515.0
130,3045,22,162,67.2,104.3,18420.0
130,3157,22,162,67.2,104.3,18950.0
141,2952,28,114,68.9,109.1,16845.0
141,3049,25,160,68.8,109.1,19045.0
173,3012,23,134,68.9,109.1,21485.0
145,3217,27,106,68.9,109.1,22470.0
141,3062,25,114,68.9,109.1,22625.0
